InstallateurPV,Référence,ARRIVAGE,N°Police,Date de payement,N°bon,TYPE CTR,REMARQUE DISTRICT,REMARQUE LABO,AVIS,DATE RECEPTION ARRIVAGE,DATE ENVOI ARRIVAGE,DISPATCHING CTR,DATE APP DOSS,DATE RECEP,DATE POSE,AVIS RECP
FOCUS ENERGIE,711789830,STEG6,6501093,7/12/2023,,TRI,,,OUI,,,1,,,,
FOCUS ENERGIE,712166560,STEG6,6501679,7/12/2023,,MONO,,,OUI,,,1,,,,
FOCUS ENERGIE,712166550,STEG6,6501687,7/12/2023,,TRI,,,OUI,,,1,,,,
FOCUS ENERGIE,708707701,STEG6,6501702,7/12/2023,,TRI,,,OUI,,,1,,,,
ISEP,707140720,STEG6,6514642,8/10/2023,,MONO,,,OUI,,,1,,,,
SEER,725305120,STEG6,6486592,6/1/2023,,MONO,,,OUI,,,1,,,,
SEER,724026920,STEG6,6502921,7/14/2023,,TRI,,,OUI,,,1,,,,
SEER,724801641,STEG6,6502918,7/14/2023,,MONO,,,OUI,,,1,,,,
TESLA ENERGY,706742620,STEG6,6517997,8/18/2023,,MONO,,,OUI,,,1,,,,
TESLA ENERGY,706742680,STEG6,6517994,8/18/2023,,MONO,,,OUI,,,1,,,,
TESLA ENERGY,717943950,STEG6,E 6528486,9/13/2023,,TRI,,,OUI,,,1,,,,
TESLA ENERGY,717560840,STEG6,E 6528481,9/13/2023,,MONO,DÉJÀ ENLEVE CTR MONO CSPV INSTALLATEUR MEGA SUN DATE ANNULATION 12/9/2023,,OUI,,,1,,,,
Thinkpower,708984200,STEG6,E6511829,8/8/2023,,MONO,,,OUI,,,1,,,,
Thinkpower,709846650,STEG6,E6521020,8/31/2023,,MONO,,,OUI,,,1,,,,
Thinkpower,708500900,STEG6,E6520583,8/25/2023,,MONO,,,OUI,,,1,,,,
Thinkpower,713668210,STEG6,E6520552,8/25/2023,,TRI,,,OUI,,,1,,,,
Thinkpower,717325850,STEG6,E6526078,9/12/2023,,MONO,,,OUI,,,1,,,,
Venergy,725186200,STEG6,E6520572,8/25/2023,,MONO,,,OUI,,,1,,,,
Venergy,704306420,STEG6,E6520576,8/25/2023,,TRI,CTR TRI SUR ALPHA,,OUI,,,1,,,,
Venergy,722061060,STEG6,E6521050,8/25/2023,,TRI,,,OUI,,,1,,,,
Venergy,720060410,STEG6,E6520580,8/25/2023,,MONO,,,OUI,,,1,,,,
Venergy,721600501,STEG6,E6510528,8/1/2023,,TRI,,,OUI,,,1,,,,
AEP,704126060,STEG7,6496092,7/6/2023,,MONO,,,OUI,,,1,,,,
AEP,707120821,STEG7,6496091,7/6/2002,,MONO,,,OUI,,,1,,,,
AEP,701881510,STEG7,6502994,7/14/2023,,MONO,,,OUI,,,1,,,,
AEP,710481551,STEG7,6483022,5/23/2023,,MONO,,,OUI,,,,,,,
AEP,704305890,STEG7,6534720,9/29/2023,,MONO,,,OUI,,,1,,,,
AEP,714087570,STEG7,6447497,1/16/2023,,TRI,,,OUI,,,1,,,,
AEP,701151520,STEG7,6488174,6/6/2023,,TRI,POMPAGE,,OUI,,,,,,,
AEP,723543502,STEG7,6484504,5/26/2023,,TRI,,,OUI,,,1,,,,
AEP,719623490,STEG7,6484506,5/26/2023,,MONO,,,OUI,,,1,,,,
AEP,704203961,STEG7,6467513,4/10/2023,,TRI,,,OUI,,,1,,,,
AEP,716003751,STEG7,6493547,6/20/2023,,TRI,,,OUI,,,1,,,,
AEP,704401120,STEG7,6517720,8/21/2023,,TRI,,,OUI,,,1,,,,
AEP,716704850,STEG7,6532945,9/22/2023,,TRI,,,OUI,,,1,,,,
AFF ETEINT,704682810,STEG7,FI-87-23-03161,,,MONO,,,OUI,,,1,,,,
AFF ETEINT,719982800,STEG7,FI-87-23-02560,6/30/2023,,MONO,,,OUI,,,1,,,,
AUG,717320550,STEG7,5934528,,,TRI,,,OUI,,,1,,,,
AUG,719222802,STEG7,6503476,,,TRI,,,OUI,,,1,,,,
AUG,721704904,STEG7,6510064,,,TRI,,,OUI,,,TRV OUSSEMA 21-03-24,,,,
CET,704204290,STEG7,6509170,7/28/2023,,MONO,,,OUI,,,1,,,,
CET,723724190,STEG7,6505252,7/20/2023,,TRI,,,OUI,,,1,,,,
FOURATI SOLAR TECHNOLOGY,722127000,STEG7,6451438,3/3/2023,,TRI,ENGAGEMENT DU 05/07/2023,,OUI,,,1,,,,
FOURATI SOLAR TECHNOLOGY,707121860,STEG7,6494223,6/21/2023,,TRI,ENGAGEMENT DU 05/07/2023,,OUI,,,1,,,,
FOURATI SOLAR TECHNOLOGY,718406160,STEG7,6500080,7/10/2023,,TRI,ENGAGEMENT DU 05/07/2023,,OUI,,,1,,,,
FOURATI SOLAR TECHNOLOGY,702387744,STEG7,6531445,9/20/2023,,TRI,ENGAGEMENT DU 05/07/2023,,OUI,,,1,,,,
GEC,707583580,STEG7,6535062,9/29/2023,,MONO,,,OUI,,,1,,,,
MESSA INNOVATION,723924940,STEG7,6352906,7/12/2022,,MONO,,,OUI,,,1,,,,
MESSA INNOVATION,719801950,STEG7,6352908,7/12/2022,,MONO,,,OUI,,,1,,,,
MESSA INNOVATION,725321050,STEG7,6364871,8/9/2022,,MONO,98405580,,OUI,,,1,,,,
MESSA INNOVATION,725908400,STEG7,6442251,2/6/2023,,MONO,,,OUI,,,1,,,,
NRC VOLT,704262540,STEG7,6514728,8/10/2023,,TRI,,,OUI,,,1,,,,
NRC VOLT,705924560,STEG7,6528659,9/13/2023,,TRI,,,OUI,,,1,,,,
SDS,727396360,STEG7,6502816,7/14/2023,,TRI,,,OUI,,,1,,,,
SEER,725306710,STEG7,6537379,10/6/2023,,MONO,,,OUI,,,1,,,,
SEER,707104080,STEG7,6537380,10/6/2023,,TRI,,,OUI,,,1,,,,
SEER,727651720,STEG7,6534580,9/29/2023,,MONO,,,OUI,,,1,,,,
SOLIDER,704284800,STEG7,6446098,2/14/2023,,TRI,,,OUI,,,1,,,,
SOLIDER,723380320,STEG7,6473924,4/28/2023,,MONO,,,OUI,,,1,,,,
SOLIDER,709745800,STEG7,6472594,4/26/2023,,TRI,,,OUI,,,1,,,,
SOLIDER,720902490,STEG7,6472602,4/26/2023,,TRI,,,OUI,,,1,,,,
SOLIDER,713041800,STEG7,6463166,3/29/2023,,TRI,,,OUI,,,1,,,,
SOLIDER,721020291,STEG7,6473933,4/28/2023,,TRI,,,OUI,,,1,,,,
SOLIDER,704381960,STEG7,6509082,7/28/2023,,MONO,,,OUI,,,1,,,,
SOLIDER,713265251,STEG7,6493543,6/20/2023,,TRI,,,OUI,,,1,,,,
SOLIDER,713265601,STEG7,6493540,6/20/2023,,TRI,,,OUI,,,1,,,,
SOLIDER,713040701,STEG7,6509079,7/28/2023,,MONO,,,OUI,,,1,,,,
SOLIDER,715881760,STEG7,6517279,8/16/2023,,MONO,,,OUI,,,1,,,,
SOLIDER,711626652,STEG7,6517282,8/16/2023,,MONO,,,OUI,,,1,,,,
SOLIDER,707607390,STEG7,6517290,8/16/2023,,MONO,,,OUI,,,1,,,,
SOLIDER,711760640,STEG7,6524490,9/4/2023,,TRI,,,OUI,,,1,,,,
SOLIDER,716425700,STEG7,6517276,8/16/2023,,TRI,,,OUI,,,1,,,,
Venergy,714948501,STEG7,E6472633,4/28/2023,,TRI,,,OUI,,,1,,,,
Venergy,713682800,STEG7,E6519273,8/22/2023,,MONO,,,OUI,,,1,,,,
GPC,714426160,STEG7,6507343,7/26/2023,,TRI,,,OUI,,,1,,,,
GPC,704126680,STEG7,6501191,7/11/2023,,TRI,,,OUI,,,1,,,,
GPC,718725510,STEG7,6501180,7/11/2023,,TRI,,,OUI,,,1,,,,
GPC,713268200,STEG7,6513340,8/8/2023,,TRI,,,OUI,,,1,,,,
GPC,713021650,STEG7,6513341,8/8/2023,,TRI,,,OUI,,,1,,,,
GPC,707146860,STEG7,6515021,8/11/2023,,TRI,,,OUI,,,1,,,,
GPC,720741280,STEG7,6507323,7/23/2023,,TRI,,,OUI,,,1,,,,
GPC,723520460,STEG7,6525580,9/6/2023,,TRI,,,OUI,,,1,,,,
EPCOM,727204711,STEG7,6485290,5/29/2023,,TRI,,,OUI,,,1,,,,
GPC,711442352,STEG7,6532147,9/22/2023,,TRI,,,OUI,,,1,,,,
BND,725222582,STEG8,6389863,9/30/2022,,MONO,,,OUI,,,1,,,,
Eminence Energie,701066491,STEG8,6532265,9/22/2023,,TRI,CTR TRI SUR ALPHA,,OUI,,,1,,,,
EPCOM,715848271,STEG8,6499518,7/7/2022,,TRI,,,OUI,,,1,,,,
EPCOM,718726501,STEG8,6499524,7/7/2023,,TRI,,,OUI,,,1,,,,
